Search Terms	Ranking	San Francisco	Los Angeles	New York	Chicago	San Diego	San Jose	Seattle	Boston	Austin	Las Vegas	Philadelphia	Portland	Houston	Sacramento	Honolulu	Atlanta	Orange County	Denver	Dallas	Phoenix	Miami
Affordable Wedding Venues	33.5														30			17			36	51
18 And Over Clubs	33.5		23					56		40	19	46	80	39	35		14	2	21	27		
Ramen	33.8	15	13	18		24	12	88	28	29	64	28	27		11	8	94	48				
Best Breakfast	33.8888888888889	33	61	88	53	14		54	78	24	2	17	19	9	15	14			13	73	22	21
Hookah Lounges	34.0																34					
New York To	34.0								34													
Waterfall Hike	34.0																	34				
Affordable Wedding Venue 100	34.0					34																
Best New Restaurants	34.0									34												
Purple Pig	34.0				34																	
Coffee	34.1111111111111	13	22	15	22	32	44	16	30	27		23	11	47	45	80	44		25	84	34	
Diner	35.0			35																		
Best Lunch Spots	35.0									35												
Top Places To Eat	35.0															35						
Best Spa	35.0										35											
Sunday Brunch Buffet	35.0																	35				
Afternoon Tea	35.0								35													
Pumpkin Patch	35.0		52		25	31	10	46							46							
Top Steakhouse Restaurants Downtown	35.0				35																	
Italian	35.1904761904762	20	21	12	15	25	39	27	14	45	48	14	38	36	76	20	67	67	34	45	37	39
Massage	35.3333333333333	23	20	30	23	16	14	30	46	44	38	33	30	38	22	11	47	47	46	53	39	92
Redbox	35.6875				91	43	57	83		50	16	34	23	3	20	81	37		14	7	3	9
Best Tattoo Shops	35.9		27	29	44	73	65	29			7			35				36		14		
Au Cheval	36.0				36																	
Andina	36.0												36									
Michelin Restaurants	36.0								36													
Italian Restaurant	36.3333333333333	19	24	17	20	23	23	33	24	54	42	19	34	42	40	40	92	33	48	56	26	54
New Restaurants	36.5													26	47							
Pho	36.7368421052632	18	18	89	99	12	5	12		39	71	29	17	31	14	19	78	44	15	37	51	
Teriyaki	37.0							37														
18 Clubs	37.0														37							
Halloween Costumes	37.0	24	28		72	8		35	45													47
Best Restaurants Downtown	37.0		37																			
H Mart	37.0					37																
Shows	37.0										37											
Consignment Furniture	37.0																	37				
Best Lunch	37.6										27		91				15		11		44	
Diners Drive Ins And Dives	37.8333333333333	37			32	77			17	32	8	21	22		29		66			19	94	
Inexpensive Wedding Venue	38.0																38					
Indoor Playgrounds	38.0																	38				
Restaurants With Live Jazz/blues	38.0																			38		
18+ Night Clubs	38.0	38																				
Fun Things To Do On A Saturday Night	38.0											76		48			24		30	36	14	
Best Birthday Cake	38.0																	15		61		
Fun Things To Do On A Friday Night	38.0																54	22				
Speakeasy	39.0																		39			
Fill A Seat	39.0																			39		
18 To Enter Night Clubs	39.0											39										
Lucky Belly	39.0															39						
Online Traffic School	39.0																	39				
Art And Craft Stores	39.0								39													
Bar	39.5555555555556	11	17	9	12	38	76	23	15	57		20	24	49	77	86	49		31	60	58	
Food Trucks In	40.0																	40				
