Search Terms	Ranking	San Francisco	Los Angeles	New York	Chicago	San Diego	San Jose	Seattle	Boston	Austin	Las Vegas	Philadelphia	Portland	Houston	Sacramento	Honolulu	Atlanta	Orange County	Denver	Dallas	Phoenix	Miami
Restaurants, Tremont Street	86.0								86													
Centurylink	86.0							86														
Lesbian Club	86.0																86					
Cheesesteak	86.0											86										
Juvia	86.0																					86
Tower Cafe	86.0														86							
Fried Turkey	86.0									86												
Slurping Turtle	86.0				86																	
Carpet Cleaning	86.5					99	74															
Kids Activities	86.5						98				75											
Monday Night Specials	86.5																82			91		
Boiling Crab Restaurant	87.0						87															
Wedding Dress Rentals	87.0																	87				
Baby Consignment	87.0																				87	
Eggs N Things	87.0															87						
Couple's Massage	87.0																			87		
Rooftop Bar	87.0																87					
Coffee & Tea	87.0												87									
Best Men's Haircut	87.5			100					75													
Movers	87.6				95	84				75									93		91	
Restaurants Near	88.0								88													
Adult Video Stores	88.0												94							82		
Izakaya	88.0															88						
Open Mic	88.0																88					
Military Surplus	88.0					88																
Brew Pubs	88.0												88									
Washington Street Restaurants	88.0													88								
Motorcycle School	88.0																	88				
Gynecologist	88.0									88												
Xoco	88.0				88																	
Thanksgiving Dinner	88.5	97				87	78	92														
Womens Boutiques	89.0												89									
Breakfast Downtown	89.0																89					
English Afternoon Tea	89.0																	89				
Boutique Hotels	89.0									89												
State Bar	89.0				89																	
Downtown Bars	89.0																				89	
Topless Bars	89.0										89											
Boulevard	90.0	90																				
Aria	90.0										90											
Carriage House	90.0				90																	
Yakiniku	90.0															90						
Melrose Ave Shops	90.0		90																			
Sushi Hai	90.0																		90			
Lardo	90.0												90									
Korean Restaurant	91.0		92				92									89						
Shave Ice	91.0															91						
Record Stores	91.0																		91			
Where To Watch Laker Game	91.0																	91				
Target	91.0	91																				
Southern Food	91.0																91					
Eyebrow Threading	91.6666666666667											95		92							88	
Best Place To Watch Giants Game	92.0	92																				
Sushi Ota	92.0					92																
Men's Suits	92.0																				92	
Tavernita	92.0				92																	
Cheap Furniture	92.0												92									
Indian Grocery Store	92.5													99							86	
Beast	93.0												93									
Best Seafood Buffet	93.0										93											
Birthday Dinner	93.0																93					
Best Inexpensive Places To Eat	93.0				93																	
The House	93.0	93																				
Restaurants Davis Square	93.0								93													
Tinto	93.0											93										
Cheap Wedding Locations	93.0					93																
Ft33	93.0																			93		
Wells Fargo Bank	93.0													93							93	
Salty Sow	93.0									93												
Buy Used Appliances	94.0																	94				
Paesanos	94.0														94							
Bars South Broadway	94.0																		94			
Local 360	94.0							94														
Limon	94.0	94																				
Searsucker	94.0					94																
Best Massage	94.0													94								
Korean Bbq All You Can Eat	94.0		94																			
Best Sunday Brunch	94.0									94												
Liliha Bakery	95.0															95						
Best Pho	95.0							95														
Indoor Basketball Court	95.0																					95
Birthday Restaurants	95.0			95																		
Bridal Dress Shops	95.0														95							
Outdoor Patio Restaurants	95.0																			95		
Pumpkin Patches	95.0		95																			
Vintage Clothing	95.0																				95	
Bungee Jumping	95.0										95											
Event Venues	95.0																95					
Pizzeria Bianco	96.0																				96	
Uchiko	96.0									96												
Rpm Italian	96.0				96																	
Costco	96.0						96															
Drink	96.0								96													
Brazilian Wax	96.0			96																		
Shaved Ice	96.0															96						
Burrito	96.0	96																				
Latin Clubs	96.0																96					
South Beach Restaurants	96.0																					96
Tria	96.0											96										
Raku	96.0										96											
Gift Shop	97.0													96			98					
Fun Places To Eat	97.0																				97	
Lululemon Outlet	97.0										97											
Alan Wongs Restaurant	97.0															97						
Chinese Supermarket	97.0																					97
Seafood Restaurant	97.0							96	98													
T Shirt Printing	97.0														97							
Big Star	97.0				97																	
Singles Bar	97.0									97												
Poppy	97.0							97														
Medical Marijuana Doctors	97.0																		97			
Jobs Hiring	98.0																					98
Nicos Pier 38	98.0															98						
Cheap Breakfast	98.0										98											
Breakfast & Brunch	98.0												98									
Ippudo	98.0			98																		
Country Western Bar	98.0																	98				
Flour And Water	98.0	98																				
Furniture Stores	99.0						99															
Pine State Biscuits	99.0												99									
Specialized Bikes	99.0																					99
Rainey Street	99.0									99												
Side Street Cafe	99.0															99						
Dance Classes For Kids	99.0																				99	
Birthday Restaurant	99.0																	99				
Dance Classes	99.0								99													
Best Place To Watch Football	99.0																99					
Shellac Manicure	99.0							99														
Old City Restaurants	99.0											99										
Handbag Repair	99.0		99																			
Jacuzzi Suites	99.0										99											
Brunch Midtown	99.0			99																		
Canlis	100.0							100														
Salon	100.0				100																	
Kids Party Venues	100.0						100															
Mandalay Bay	100.0										100											
Best Furniture Stores	100.0	100																				
Bolsa	100.0																			100		
Ichiriki	100.0															100						
Mobile Dog Grooming	100.0																	100				
Restaurants Se Division	100.0												100									
