Yelp URL Slug			san-francisco	la	nyc	chicago	san-diego	san-jose	seattle	boston	austin	las-vegas	philadelphia	portland	houston	sacramento	honolulu	atlanta	oc	denver	dallas	phoenix	miami	minneapolis	new-orleans	st-louis	baltimore	san-antonio-tx	orlando-fl	santa-barbara-ca	santa-cruz-ca-us	san-gabriel-ca	pittsburgh	fort-lauderdale-fl	detroit	charlotte-nc	nashville	columbus-oh	salt-lake-city	providence	milwaukee	kansas-city-mo	indianapolis-in	cincinnati-oh	tucson-az	ann-arbor-mi	fort-worth	raleigh-nc	virginia-beach-va-us	richmond	cleveland	colorado-springs-co	albuquerque	madison	santa-clarita-ca	reno-nv-us	san-fernando-valley-ca	fresno-ca	tacoma-wa-us	jax	ontario-ca	stockton-ca	oklahoma-city	bakersfield-ca	louisville	charleston-sc	vancouver-wa	eugene-or	portland-me	buffalo	sonoma-ca-us	modesto-ca-us	memphis	grand-rapids-mi	omaha-ne-us	worcester-ma	rochester-ny-us	gainesville-fl	savannah-ga	albany-ny-us	birmingham-al	asheville-nc	hartford	wilmington-de	spokane-wa	westchester-county-ny-us	anchorage-ak	boise-id	baton-rouge-la	el-paso-tx	des-moines-ia	syracuse-ny-us	bloomington-in	columbia-sc	little-rock-ar	lexington-ky	naples-fl	tallahassee-fl-us	knoxville-tn	harrisburg-pa	salem-or-us	greenville-sc	fort-myers-fl-us	dayton-oh	lincoln-ne	corpus-christi-tx	chattanooga-tn	tulsa-ok	wichita-ks	springfield-mo	pensacola-fl-us	south-bend-in-us	allentown-pa	huntsville-al	london-on-ca	athens-ga	daytona-beach-fl	springfield-ma	east-lansing-mi	kalamazoo-mi	fairfield-ct	cedar-rapids-ia	toledo-oh-us	rockford-il	fort-wayne-in	lubbock-tx	columbia-mo	akron-oh-us	augusta-ga	columbus-ga	green-bay-wi	montgomery-al	roanoke-va	sioux-falls-sd	ventura-county-ca	appleton-wi	shreveport-la	palm-beach-fl	mobile-al-us	charleston-wv	amarillo-tx	jackson-ms	billings-mt	lakeland-fl	evansville-in	san-angelo-tx	ogden-ut-us	sudbury-ma	beaumont-tx	abilene-tx-us	ocala-fl-us	macon-ga	erie-pa	midland-tx	topeka-ks	youngstown-oh	tampa-bay-fl
Bars	147	29.9387755102041	6	10	7	9	17	61	13	8	22		11	12	18	25	37	22		17	20	29	38	17	26	23	16	27	36	30	50		13	29	18	22	14	17	37	10	13	37	23	19	36	25	34	20	32	22	26	45	36	23	42	57	11	34	36	24	26	86	31	47	25	23	32	32	14	35	50	63	23	17	22	26	32	36	25	28	27	16		21	12	48	39	42	42	17	40	17	22	29	55	19	53	24	13	17	38	17	41	28	24	27	24	22	24	49	33		23	14	91	13	23	27	25	28	45	30	23	53	48	17	23	23	18	33	16	12	56			41	26	21	86	22	38	13	69	58	35	36	20		44	39	67	41	36	20	80	31	22
Mexican	146	40.7465753424658	25	26	19	14	15	29	25	38	20	79	22	29	28	28	69	31		19	29	16	68	56		30	42	19	50	20	52	73	59	51	30	37	56	28	45	29	35	32	29	52	17	34	33	27	45	36	40	32	23	37	41	52	87	63	57	43	18	21	42	32	63		31	45	38	43	73	33	45	25	33	34	38	45	100	38	39	47		17	50	30	51	50	45	26	27	60	41	28	20	25	35	52	41	36	30	15	50	27	23	30	41	29	31	33	81		37	26	67	31	60	29	37	64	57	41	54	59	94	38	25	30	29	42	39	92	92			40			59	91	46	28	42	47	47	32	13	12	58	22	62	55	54	23	71	25	51
Chinese	145	33.7034482758621	17	30	16	16	27	18	31	29	25	40	15	33	22	21	54	30		26	30	18	30	47		21	19	32	22	50	31	8	21	45	50	29	54	14	25	31	19	48	20	34	33	15	65	21	29	12	22	30	35	21	49	66		15	47	33	22	10	50	35	23	65	23	28	34	29		25	76	19	25	11	15	19	62	12	31	84		15	30	39	38	25	34	31	33	40	19	20	23	38	46	27	56	28	35	34	45	24	11	52	38	39	26	26	39		11	20	96	25	59	12	11	44	31	33	30	27	29	49	10	16	16	21	36	77	44			48			36	38	65	47	24	37	49	49	53	47	37	47	82	15	39	53	33	57	84
Thai	143	38.6433566433566	12	11	11	13	11	11	11	25	31	41	18	10	27	18	30	32	95	27	26	24	65	31	84	24	18	53	40	41	34	50	22	50	28	44	44	27	19	26	30	75	32	28	50	18	47	36	48	19	38	28	43	25	18	54		25	24	44	17	16	36	33	43	99	16	22	17	37		55	59	21	45	27	23	71	54	27	60	50		30	25	7	30	31	27	49	34	27	25	26	28	33	52	58	48	27	21	28	81	41	48	60	28	33	44	56	67		12	42	46	43	71	26	15	42	60	25	41	46	38		26	31	34	43	67	36	22				51	93	42	86	84		43	99		94	40	9		63	61	56	41	34	56	50	
Chinese Food	143	33.1538461538462	16	19	28	19	10	15	24	27	21	44	26	16	29	8	60	39		24	52	17	34	48	68	33	25	37	32	28	9	7	30	56	72	38	48	22	31	50	27	58	28	25	23	14	57	47	22	25	27	18	24	8	10	7	34	10	9	50	8	8	20	9	56		14	16	47	28		8	61	13	15	8	17	13	75	17	37	15		38	24	54	18	6	35	27	41	18	11	27	61	41	15	23	24	21	20	44	12	30	55	38	64	38	42	43	35		25	36	51	56	12	35	1	11	33	7	25	32	51	7	30	21	91	26	20	84	30			81	89		56	61			47	35	29		25	50	91	79	98	50	84	37	38		32
Hair Salons	141	49.9787234042553	39	38	47	29	29	24	47	40	52		42	41	60	34	92	74	97	54	86	42	60	93		57	38	45	94	49	44	61	34	62		46	75	40	92	38	51	77	36	46	39	50	55	41	33	56	82	53	39	31	24	68	43	54	42	32	49	32	49	43	54	62	30	40	35	51	92	52	89	33	57	65	52	80	49	45	67	38		77	35	18	33	48	38	62	56	23	30	24	83	47	29	50	39	85	37	23	48	98	46	33	80	47	45	24	40		57	44	27	32	29		81	26	24		70	83	22	86	28	47	36	27	64	26	40			52	29	25	25	97		38			48	99		32	35	31	77	69	55	91	47	39	
Redbox	137	8.52554744525547				91	43	57	83		50	16	34	23	3	20	81	37		14	7	3	9	7		2	5	2	3				2	9		2	7	2	3	19	29	2	2	2	2	63	3	4	1	2	7	1	2	29	50	3		3	5	1	15	2	8	2	1	4	2	4	28	2	62	2	1	3	2	3	2	2	3	7	2	4		2	3		2	1	1	1	2	4	5	1	1	1	2	4	2	2	1	2	1	1	3	1	2	1	1	1	1		2	2		4	6	2	21	3	4	2	3	1	1	1	2	2	1	1	3	1	2			1	1	16	1	2	1	1	1	1	1	1	1	13	1	1	1	1	1	1	1	1	
Italian	136	48.4264705882353	20	21	12	15	25	39	27	14	45	48	14	38	36	76	20	67	67	34	45	37	39	81	97	29	23	57	52	29	46	97	37	47	52	52	76	32	43	18	49	62	31	50	43	83	49	32	53	24	37	56	61	39	48	46	79	61	84	40	38	73	65	63	42	52	52	51	39	32		61		58	50	28	26	64	55	25	46	87		28	51	10	80	70	41	40	31	34	45	36		57	31	82	51	13	52	30	51	37	84	48	39	28	56	28	58		55	64		89	44	31		22	12	70	44	56	79	100	73	36	42	79		64	41			60	42	48	66		100	42	37					49				73		56	45	66	49
Coffee	134	47.7761194029851	13	22	15	22	32	44	16	30	27		23	11	47	45	80	44		25	84	34		43	39	39	22	63	75	40	33	62	26		38	59	57	26	35	46	50	44	41	33	60	31	74	34	87	29	31	34	52	20	87	78			38	62	91	85	61	76	28	48	17	23	23	56		51	40	40	63	51	39	85	79	63	25	21		63	41		56	43	51	43	28	45	34	51	24	44		51	33	59	16	38	62	42	40	68	30	42	67	82	83		26	31	60	34			38	57		67	61	89	73	39	64	20	32	73	91	29	51			62		76	47	50	53	63	50			74	31	53	63	52		78	43	89	54		26
Steak	134	54.9029850746269	58	50	40	42	51	46	57	58	53	21		71	51	100	56	81	63	56	34	54		100		49		65	41	86		86	82			78	95	74	47		41	52	55	72	44	72	42	60		98	30	40	37	43	73	45	71	51	89	100	53	30	39	38	66	91	92	71	72	46		54		56	11		51	78	95	15	45	90		87	65	49	65	38	44	33	43	64	28	58	26	37	45	87	55	69	26	85	34	23	26	53	31	30	37	53	48		82	37		53	97	45	75	15	64	45	66	34	44	26	36	42	89	52	26	51	93			29	40	62			25	37	57	62	84	48	24	38		12	97		93	29	53	59	44
