Yelp URL Slug			san-francisco	la	nyc	chicago	san-diego	san-jose	seattle	boston	austin	las-vegas	philadelphia	portland	houston	sacramento	honolulu	atlanta	oc	denver	dallas	phoenix	miami	minneapolis	new-orleans	st-louis	baltimore	san-antonio-tx	orlando-fl	santa-barbara-ca	santa-cruz-ca-us	san-gabriel-ca	pittsburgh	fort-lauderdale-fl	detroit	charlotte-nc	nashville	columbus-oh	salt-lake-city	providence	milwaukee	kansas-city-mo	indianapolis-in	cincinnati-oh	tucson-az	ann-arbor-mi	fort-worth	raleigh-nc	virginia-beach-va-us	richmond	cleveland	colorado-springs-co	albuquerque	madison	santa-clarita-ca	reno-nv-us	san-fernando-valley-ca	fresno-ca	tacoma-wa-us	jax	ontario-ca	stockton-ca	oklahoma-city	bakersfield-ca	louisville	charleston-sc	vancouver-wa	eugene-or	portland-me	buffalo	sonoma-ca-us	modesto-ca-us	memphis	grand-rapids-mi	omaha-ne-us	worcester-ma	rochester-ny-us	gainesville-fl	savannah-ga	albany-ny-us	birmingham-al	asheville-nc	hartford	wilmington-de	spokane-wa	westchester-county-ny-us	anchorage-ak	boise-id	baton-rouge-la	el-paso-tx	des-moines-ia	syracuse-ny-us	bloomington-in	columbia-sc	little-rock-ar	lexington-ky	naples-fl	tallahassee-fl-us	knoxville-tn	harrisburg-pa	salem-or-us	greenville-sc	fort-myers-fl-us	dayton-oh	lincoln-ne	corpus-christi-tx	chattanooga-tn	tulsa-ok	wichita-ks	springfield-mo	pensacola-fl-us	south-bend-in-us	allentown-pa	huntsville-al	london-on-ca	athens-ga	daytona-beach-fl	springfield-ma	east-lansing-mi	kalamazoo-mi	fairfield-ct	cedar-rapids-ia	toledo-oh-us	rockford-il	fort-wayne-in	lubbock-tx	columbia-mo	akron-oh-us	augusta-ga	columbus-ga	green-bay-wi	montgomery-al	roanoke-va	sioux-falls-sd	ventura-county-ca	appleton-wi	shreveport-la	palm-beach-fl	mobile-al-us	charleston-wv	amarillo-tx	jackson-ms	billings-mt	lakeland-fl	evansville-in	san-angelo-tx	ogden-ut-us	sudbury-ma	beaumont-tx	abilene-tx-us	ocala-fl-us	macon-ga	erie-pa	midland-tx	topeka-ks	youngstown-oh	tampa-bay-fl
Tanning Salons	1	84.0																																																							84																																																																																																				
Carpet Cleaning Service Ventura County	1	43.0																																																																																																																																					43																						
Sierras	1	18.0																																																																																																																																																		18									
Plant	1	89.0																																																																																89																																																																											
H&h Motors	1	48.0																																																																																																																								48																																			
Yardarm Restaurant	1	93.0																																																																																																								93																																																			
Old City Restaurants	1	99.0											99																																																																																																																																																
Silver Legacy	1	67.0																																																						67																																																																																																					
Plan B	1	14.0																																																																																																																				14																																							
High End Department Stores	1	30.0																																																																																																																	30																																										
Dry Cleaning South Bend	1	84.0																																																																																																														84																																													
Goodwill	1	42.0																																																																																																																	42																																										
Dinner Cruise Ventura County	1	65.0																																																																																																																																					65																						
Crab Pot	1	86.0																																																									86																																																																																																		
Food Sioux Falls	1	70.0																																																																																																																																				70																							
Carmax	1	76.0																																																																						76																																																																																					
Cornbread Cafe	1	97.0																																																																		97																																																																																									
Alba	1	67.0																																																																																									67																																																																		
Thomas Chiropractic	1	46.0																																																																																																																											46																																
Hopjacks	1	76.0																																																																																																													76																																														
Chinese Restaurant Sioux Falls	1	20.0																																																																																																																																				20																							
Chiropractors Sioux Falls	1	51.0																																																																																																																																				51																							
Rave Clothing	1	100.0																																																																																																																	100																																										
Charlie Hong Kong	1	97.0																													97																																																																																																																														
Brunch Ventura County	1	31.0																																																																																																																																					31																						
Paint The Town Red	1	67.0																																									67																																																																																																																		
Taboo	1	20.0																																																																																																																																								20																			
Gift Shop Hartford	1	20.0																																																																																	20																																																																										
Fun Date Night Ideas	1	16.0																	16																																																																																																																																										
Silver Legacy Resort Casino	1	84.0																																																						84																																																																																																					
Consumers Credit Union	1	68.0																																																																																																																						68																																					
The Optimist	1	60.0																60																																																																																																																																											
Rainey Street Bars	1	58.0									58																																																																																																																																																		
Amerigo	1	31.0																																																																																																																																												31															
Tuk Tuk Thai	1	39.0																																																																																																				39																																																							
Plan B Hartford	1	81.0																																																																																	81																																																																										
Wesley Rehabilitation Hospital	1	92.0																																																																																																											92																																																
Exile Brewing Company	1	35.0																																																																																									35																																																																		
Hudiburg Nissan	1	48.0																																																													48																																																																																														
Centro	1	26.0																																																																																									26																																																																		
Frenchman Street Bars	1	22.0																							22																																																																																																																																				
Gratzi	1	42.0																																												42																																																																																																															
Safety Check	1	33.0															33																																																																																																																																												
Beartooth Bank	1	72.0																																																																																																																																													72														
Golden Corral Buffet	1	45.0					45																																																																																																																																																						
Dolce Salon And Spa	1	44.0																									44																																																																																																																																		
Black Pig	1	87.0																																																	87																																																																																																										
Cj's Pub South Bend	1	93.0																																																																																																														93																																													
Uptown Restaurants	1	34.0																																		34																																																																																																																									
Top Restaurants Downtown	1	2.0				2																																																																																																																																																							
Applebees Restaurant	1	87.0																																																																																																																																87																											
Lot 2	1	98.0																																																																									98																																																																																		
Indoor Rock Climbing	1	75.0																	75																																																																																																																																										
The Federal	1	65.0																																																																																																																				65																																							
Grubsouth	1	54.0																																																																																																																54																																											
Bistro Bella Vita	1	50.0																																																																								50																																																																																			
Eyelash Extensions Ventura County	1	58.0																																																																																																																																					58																						
Hotels With Jacuzzi In Room	1	56.0																																																											56																																																																																																
Burgers Hartford	1	85.0																																																																																	85																																																																										
Santa Fe Grill	1	52.0																																																																																																												52																																															
Via Italian Table	1	86.0																																																																										86																																																																																	
Michael Fox	1	66.0																																																																																																																																											66																
Wednesday Night	1	70.0																					70																																																																																																																																						
Chaps	1	87.0																																																																																			87																																																																								
Senate	1	65.0																																										65																																																																																																																	
Good Luck	1	36.0																																																																											36																																																																																
Maru Sushi & Grill	1	64.0																																																																								64																																																																																			
Southside Bistro	1	70.0																																																																																					70																																																																						
Atlantis Buffet	1	37.0																																																						37																																																																																																					
Punk Clothing Stores	1	51.0																	51																																																																																																																																										
Cheap Rugs	1	83.0																																																																																																																	83																																										
Vikings Bars	1	26.0																						26																																																																																																																																					
Ft33	1	93.0																			93																																																																																																																																								
Front Porch	1	30.0																																																																																																30																																																											
Po Boy Sandwich	1	100.0																							100																																																																																																																																				
Sushi Kyo	1	72.0																																																																																																			72																																																								
All You Can Eat Hot Wing	1	86.0																																																																												86																																																																															
Aladdin	1	61.0																																																																																																															61																																												
Farm	1	31.0																																																																																											31																																																																
Vandevere Chevrolet	1	51.0																																																																																																																														51																													
Unique Wedding Venue	1	71.0																						71																																																																																																																																					
Chez Fonfon	1	70.0																																																																															70																																																																												
Bar 145	1	33.0																																																																																																																									33																																		
Havana Rumba	1	85.0																																																															85																																																																																												
Hemingways	1	74.0																																						74																																																																																																																					
Club	1	70.0																																																																																																																																																						70					
Mexican Restaurant Sioux Falls	1	72.0																																																																																																																																				72																							
Michelin Star	1	69.0																																	69																																																																																																																										
Northwest Savings Bank	1	6.0																																																																																																																																																							6				
Wing Specials	1	20.0																																																																																																																	20																																										
Home & Commercial Services	1	90.0																																																																															90																																																																												
Envision Credit Union	1	84.0																																																																																																84																																																											
Dvd Media Production	1	24.0																																24																																																																																																																											
Great Western Bank Sioux Falls	1	14.0																																																																																																																																				14																							
Gateway Mall	1	79.0																																					79																																																																																																																						
Linger	1	33.0																		33																																																																																																																																									
Simon And Seaforts	1	76.0																																																																																					76																																																																						
Tasty Garden	1	41.0																														41																																																																																																																													
Hair Stylist Sioux Falls	1	96.0																																																																																																																																				96																							
Romantic Getaway	1	76.0																													76																																																																																																																														
Muffler Shop	1	74.0																																																																																																																					74																																						
Brickell Restaurants	1	10.0																					10																																																																																																																																						
Suburban Lawn Equipment	1	49.0																																																																																		49																																																																									
New Trendy Restaurant	1	5.0																						5																																																																																																																																					
Japanese Hartford	1	99.0																																																																																	99																																																																										
Urban Grub	1	47.0																																			47																																																																																																																								
Beamers 25	1	29.0																																																																																																																																			29																								
Federal Donuts	1	41.0											41																																																																																																																																																
Tess	1	83.0																																							83																																																																																																																				
Diner Sioux Falls	1	87.0																																																																																																																																				87																							
Local Restaurants Near I 75	1	49.0																																																																												49																																																																															
18 + Clubs	1	32.0			32																																																																																																																																																								
Heffs Burgers & More	1	26.0																																																																																																																																																				26							
Turnrow	1	23.0																																																																																																																																																23											
Gem Of India	1	58.0																																																																																																												58																																															
Street And Company	1	71.0																																																																			71																																																																																								
Happy Dog	1	90.0																																																	90																																																																																																										
Marina Fish House	1	31.0												31																																																																																																																																															
Bjs	1	80.0																																																																																																																												80																															
Marcus Pointe Church Preschool	1	95.0																																																																																																													95																																														
Firestone	1	71.0																																																																																		71																																																																									
The Northern Trust Company	1	29.0																																																																																																																																								29																			
Beer Kitchen	1	85.0																																								85																																																																																																																			
Hirosaki Prime	1	71.0																																																																										71																																																																																	
Bonda	1	98.0																																																																																																																							98																																				
The Avenue At	1	19.0																																																																																																																												19																															
Flint	1	57.0																																																													57																																																																																														
Salsa Grille	1	17.0																																																																																																																											17																																
Energy One Credit Union	1	57.0																																																																																																										57																																																	
Blue Hill At Stone Barns	1	60.0																																																																																				60																																																																							
Best Place For Birthday Party	1	24.0																						24																																																																																																																																					
Cheap Smog Check	1	77.0						77																																																																																																																																																					
Lunch Hartford	1	4.0																																																																																	4																																																																										
Lonesome Dove Western Bistro	1	94.0																																													94																																																																																																														
Beach Bonfire	1	94.0																													94																																																																																																																														
Fried Turkey	1	86.0									86																																																																																																																																																		
Popeyes	1	98.0																																																																																																																																																										98	
Big Whiskey's	1	94.0																																																																																																												94																																															
Lucky	1	31.0																																																																																																																																			31																								
Flooring Ventura County	1	53.0																																																																																																																																					53																						
Colas	1	82.0																																																																																												82																																																															
Medical Marijuana Doctors	1	97.0																		97																																																																																																																																									
The Fitness Studio	1	59.0																																																																																																																											59																																
Din Tai Fung	1	54.0																														54																																																																																																																													
Green Chili	1	21.0																																																			21																																																																																																								
Vanity	1	65.0																																						65																																																																																																																					
Magazine Street Restaurants	1	11.0																							11																																																																																																																																				
Barbeque Sioux Falls	1	93.0																																																																																																																																				93																							
First Bank & Trust Company	1	55.0																																																																																																																												55																															
Fish Markets	1	62.0																											62																																																																																																																																
Ippudo	1	98.0			98																																																																																																																																																								
Internet Cafes	1	53.0																																																																															53																																																																												
Pastaria	1	18.0																								18																																																																																																																																			
Organic Restaurant	1	73.0																																																																													73																																																																														
Local 127	1	91.0																																										91																																																																																																																	
Best North End Restaurant	1	11.0								11																																																																																																																																																			
Beyond Bread	1	92.0																																											92																																																																																																																
Rainey Street	1	99.0									99																																																																																																																																																		
Glacier Brewhouse	1	35.0																																																																																					35																																																																						
Crave Restaurant	1	67.0																																																																																								67																																																																			
Mexican Hartford	1	27.0																																																																																	27																																																																										
Roux	1	35.0																																																																																																																																		35																									
Clyde Common	1	74.0												74																																																																																																																																															
Head Quarters Men's Haircuts	1	58.0																																																																																																					58																																																						
Tidewater Grill	1	49.0																																																																																																																																										49																	
Shave Ice	1	91.0															91																																																																																																																																												
Gtsouth	1	61.0																																																																																																																																		61																									
New Horizons Credit Union	1	64.0																																																																																																																																									64																		
Karpet America	1	54.0																																																																																																																											54																																
Beale Street	1	98.0																																																																							98																																																																																				
El Pueblo Inn	1	34.0																																																																					34																																																																																						
Caesars Palace Buffet	1	31.0										31																																																																																																																																																	
Echo	1	26.0																																																																																																																																								26																			
Chaffey's Restaurant	1	13.0																																																											13																																																																																																
Restaurants Near Grand Central	1	82.0			82																																																																																																																																																								
Asian Market	1	61.0																																																																												61																																																																															
Mothers	1	34.0																							34																																																																																																																																				
Western National Bank	1	21.0																																																																																																																																																								21			
1st Source Bank	1	25.0																																																																																																																											25																																
Vinyl Record Stores	1	69.0																	69																																																																																																																																										
Jerusalem Garden	1	97.0																																												97																																																																																																															
678	1	63.0															63																																																																																																																																												
Bingo	1	75.0																						75																																																																																																																																					
Salin Bank And Trust Company	1	28.0																																																																																																																											28																																
Centerfolds	1	62.0																																																																										62																																																																																	
Bridal Dress Shops	1	95.0														95																																																																																																																																													
Best Italian Restaurant	1	23.0										23																																																																																																																																																	
Graceland	1	100.0																																																																							100																																																																																				
Discover	1	58.0																																																																																																																						58																																					
Dog Daycare Ventura County	1	6.0																																																																																																																																					6																						
Leos	1	90.0																																																																								90																																																																																			
Community National Bank	1	3.0																																																																																																																																																								3			
Care Fertility	1	68.0																																													68																																																																																																														
American	1	32.0																																																																																						32																																																																					
Balena	1	61.0				61																																																																																																																																																							
Dynamic Fitness Management	1	34.0																								34																																																																																																																																			
Bayona	1	50.0																							50																																																																																																																																				
Best Burgers	1	91.0																								91																																																																																																																																			
Isis	1	33.0																																																																																33																																																																											
Automotive	1	65.0																																																																																																																																													65														
Christos	1	86.0																																																																																																			86																																																								
Cooking Classes In Restaurant	1	73.0																																																							73																																																																																																				
Copper Onion	1	24.0																																					24																																																																																																																						
Joe Taco	1	61.0																																																																																																																																											61																
Chris Moore Roofing	1	10.0																																																																																																																																																						10					
Nsurance Nation	1	25.0																																																										25																																																																																																	
Brewery South Bend	1	94.0																																																																																																														94																																													
Cork And Cleaver	1	53.0																																																																																																																											53																																
Broad Street Grille	1	50.0																																																																																																									50																																																		
Piano Bars	1	30.0																																																																																																																			30																																								
Cafe Hon	1	52.0																									52																																																																																																																																		
Sushi Hartford	1	14.0																																																																																	14																																																																										
Gracies	1	99.0																																						99																																																																																																																					
Soby's	1	93.0																																																																																																				93																																																							
Restaurant Sioux Falls	1	12.0																																																																																																																																				12																							
Silver Dollar	1	78.0																																																															78																																																																																												
Pro Clinic	1	59.0																																																																																																													59																																														
Light Dinner	1	52.0																																																																																																	52																																																										
Dinner And Live Jazz	1	20.0																20																																																																																																																																											
Salsa	1	66.0																																																																																66																																																																											
Guild Mortgage Company	1	100.0																																																																																												100																																																															
Red Stripe	1	44.0																																						44																																																																																																																					
Cilantro	1	35.0																																																																																																																														35																													
Los Gauchos	1	80.0																																				80																																																																																																																							
Commerce Kitchen	1	41.0																																																																																																																41																																											
Early Girl Eatery	1	37.0																																																																																37																																																																											
Steak House Sioux Falls	1	63.0																																																																																																																																				63																							
Massage In	1	63.0																																																																																																																	63																																										
Paesanos	1	94.0														94																																																																																																																																													
Catering Ventura County	1	36.0																																																																																																																																					36																						
Discount Furniture Company	1	12.0																																																																																																																																												12															
The Table	1	79.0						79																																																																																																																																																					
Peoplesbank	1	56.0																																																																																																																				56																																							
Wings South Bend	1	92.0																																																																																																														92																																													
Reclaimed Wood	1	53.0																	53																																																																																																																																										
Hometown Bank	1	23.0																																																																																																																																			23																								
The Nook	1	53.0																																																																																																																53																																											
Metro Toyota	1	71.0																																																																																																																						71																																					
Allied Bank	1	48.0																																																																																													48																																																														
Iron Hill Brewery	1	83.0																																																																																		83																																																																									
Knox Henderson Restaurant	1	22.0																			22																																																																																																																																								
Mochi	1	44.0																																																																												44																																																																															
Hammerheads	1	26.0																																																															26																																																																																												
Rick Erwins Westend Grille	1	82.0																																																																																																				82																																																							
Assassin Tattoo Studio	1	52.0																																																																																																																														52																													
Branded Butcher	1	66.0																																																																																																																		66																																									
Cordova Animal Medical Center	1	75.0																																																																																																													75																																														
Tattoo Shops Ventura County	1	28.0																																																																																																																																					28																						
Pumpkin Patch Ventura County	1	25.0																																																																																																																																					25																						
Hipster Hartford	1	68.0																																																																																	68																																																																										
