Yelp URL Slug			san-francisco	la	nyc	chicago	san-diego	san-jose	seattle	boston	austin	las-vegas	philadelphia	portland	houston	sacramento	honolulu	atlanta	oc	denver	dallas	phoenix	miami
Search Terms	Popularity	Average Ranking	San Francisco	Los Angeles	New York	Chicago	San Diego	San Jose	Seattle	Boston	Austin	Las Vegas	Philadelphia	Portland	Houston	Sacramento	Honolulu	Atlanta	Orange County	Denver	Dallas	Phoenix	Miami
Hotel	9	68.2222222222222	51	87	77		68		91			60		60			59						61
Best Brunch	9	25.2222222222222		47					49	5	23	29	24					21		18			11
Fun Date Ideas	8	25.25							53	31					7			4	21	50	18		18
Mexican Restaurant	8	70.875		93		68	49	73							90	89				72		33	
Indian Restaurant	8	71.0						26		84		92	40		72			73			99	82	
Restaurants Downtown	8	51.625	84	97				45	55							23		19		36	54		
Dim Sum	7	54.5714285714286	22	64				30	63	91						38	74						
Gym	7	77.2857142857143	87	88	86	40		97	45											98			
Dessert	7	76.5714285714286	68	59	57		66	95								98	93						
Halloween Costumes	7	37.0	24	28		72	8		35	45													47
Coffee Shop	7	68.0	95		39		98		80		48			39						77			
Sports Bars	7	78.7142857142857	29	100				93	87					70		92						80	
Costume Store	6	54.8333333333333	70	76						71			64	20						28			
Sunday Brunch	6	48.3333333333333									42				55			84	4		49		56
Electrician	6	82.1666666666667						67			90				98	67				95		76	
Fun Things To Do On A Saturday Night	6	38.0											76		48			24		30	36	14	
Food Trucks	6	43.1666666666667									66	94	27	32	24						16		
Best Pizza	6	66.5							72			33			56	93						64	81
Consignment Shops	6	64.0									56		90	79					25	42	92		
Buffet	6	50.8333333333333					85	48				3				74	21		74				
Tattoo Shops	6	63.3333333333333					57							37		70			68			61	87
Swinger Clubs	6	19.5										6						5	10	82		11	3
Best Happy Hour	6	51.5		73					17		73			54			41			51			
Construction	6	62.6666666666667													65	54		69			76	59	53
Pumpkin Patch	6	35.0		52		25	31	10	46							46							
Fun Things To Do	6	29.6666666666667		40								14	31	14		3				76			
Beauty Salon	5	66.4													77			42		84	77		52
Best Places To Eat	5	48.6			84		21	64		26												48	
Asian Supermarket	5	54.4																40	86	53	58	35	
Sandwiches	5	73.0	40	82			71	94						78									
Fun Restaurants	5	43.4			24					51		59									35		48
5 Star Restaurants	5	56.6													67	96		18			65		37
Tacos	5	75.4		56		94					72										89	66	
Movers	5	87.6				95	84				75									93		91	
Best Lunch	5	37.6										27		91				15		11		44	
Vietnamese Restaurant	5	59.2	47					21							70	78			80				
Swingers Club	5	53.2					50						74	56		62			24				
Zumba Classes	5	60.0											75		58				71			74	22
Tapas	4	56.25	76		38	41				70													
Thai Restaurant	4	81.0	99	77			95	53															
Private Party Venues	4	50.25							90				47		21			43					
Thanksgiving Dinner	4	88.5	97				87	78	92														
Bars And Lounges	4	61.5	61	46	52	87																	
Affordable Wedding Venues	4	33.5														30			17			36	51
Auto Repair	4	74.75					54	81			80					84							
Tailor	4	66.0			76	76				50			62										
Halloween Store	4	50.5		15		58		38								91							
Best Mexican Food	4	60.25					86				46									43	66		
Salad	4	73.75	62	70	65						98												
	3	52.6666666666667								32				68			58						
Chinese Buffet	3	62.0									63				80							43	
Cheap Massage	3	72.3333333333333													95						81	41	
Shellac Nails	3	77.6666666666667						89			68				76								
Korean Restaurant	3	91.0		92				92									89						
Toms Shoes	3	59.6666666666667					78		65				36										
Vietnamese	3	69.0	60					62							85								
Best Burger	3	51.3333333333333														65						25	64
Vegan	3	69.3333333333333		65									100	43									
Clothing Boutiques	3	76.6666666666667															61			80			89
Night Clubs 18 And Over	3	44.0														33	66				33		
Eyebrow Threading	3	91.6666666666667											95		92							88	
Hip Hop Clubs	3	52.6666666666667										50	57								51		
Best Dim Sum	3	68.0							59	74			71										
Lunch Restaurants	3	82.3333333333333												67		88				92			
Romantic Restaurant	3	59.0								97							49				31		
Passport Photos	3	85.6666666666667							81	90										86			
Cheap Wedding Venues	3	43.3333333333333							74										12		44		
Halloween Costume Stores	3	44.3333333333333			41			86											6				
Call Girls	3	44.0			81							15											36
Haunted Houses	3	16.3333333333333						27						13		9							
Fun Things To Do On Date Night	3	53.0												48	61								50
Lunch Downtown	3	67.6666666666667												72		90				41			
Used Book Stores	3	83.3333333333333														99		68		83			
Couples Cooking Classes	3	51.3333333333333											89						8		57		
Cupcakes	3	84.3333333333333						90			92											71	
Late Night Delivery	3	59.6666666666667									70			65						44			
Wine Bar	3	57.0	50		23	98																	
Used Furniture Stores	3	57.6666666666667														58			92	23			
Gay Bath House	2	75.5								94												57	
Carpet Cleaning	2	86.5					99	74															
Cheap Motels	2	69.5			56			83															
Best Hair Salon	2	50.0								76											24		
Used Tires	2	53.5																	72				35
18 And Over Night Clubs	2	29.5																55					4
Best Bbq	2	42.0									37										47		
Cooking Class	2	67.0			92				42														
Fun Things To Do On A Friday Night	2	38.0																54	22				
Gun Shop	2	47.0		68															26				
18 And Over Dance Clubs	2	77.0																	84			70	
Uchi	2	65.5									79				52								
Healthy Restaurants	2	77.0													64						90		
Swingers Bars	2	60.0										39			81								
North Face Outlet	2	70.0				56			84														
Kids Activities	2	86.5						98				75											
Iphone Repair	2	84.0					90												78				
Best Steakhouse	2	29.5										36			23								
Brewery	2	66.0												51						81			
Asian Grocery Stores	2	57.5																83		32			
Snooze	2	81.0					89													73			
Starbucks	2	78.0		96				60															
Shabu Shabu	2	64.5		75															54				
Best Bars	2	43.5									38					49							
Costume Rentals	2	29.0		35															23				
Latin Night Clubs	2	63.0										88										38	
Best Italian Restaurants	2	23.5													6						41		
Best Seafood Restaurant	2	51.0					81		21														
Best Sushi	2	70.5											91	50									
Hiking Trails	2	81.0															94					68	
Institute For Integrative Nutrition	2	73.0	53		93																		
Wells Fargo Bank	2	93.0													93							93	
Chinese Restaurant	2	72.5	82					63															
Byob	2	10.0				18							2										
Seafood Restaurant	2	97.0							96	98													
Jpmorgan Chase Bank	2	77.0			97										57								
Car Wash	2	66.5		48				85															
Best Chinese Food	2	74.0	71																77				
Lunch Spots	2	74.5												49								100	
Party Venues	2	67.0														59	75						
Indian Grocery Store	2	92.5													99							86	
Gift Shop	2	97.0													96			98					
Baby Shower Venues	2	61.0																	31				91
Best Birthday Cake	2	38.0																	15		61		
Hip Hop Dance Class	2	75.5											87								64		
Vegan Restaurants	2	77.0											70	84									
Best Japanese Restaurant	2	55.0										76					34						
Ocean View Restaurant	2	67.5																	93				42
Chinese Food Delivery	2	47.5																			75	20	
Best Men's Haircut	2	87.5			100					75													
Food Truck	2	41.0																	50			32	
New Restaurants	2	36.5													26	47							
Asian	2	81.0									95									67			
Men's Haircut	2	54.0											60								48		
Live Music Venues	2	28.5														36					21		
Cheap Motel	2	77.0		83													71						
Best Sushi Restaurant	2	55.5										65					46						
All You Can Eat Crab Legs	2	51.5																36					67
Adult Massage	2	68.0										66						70					
Monday Night Specials	2	86.5																82			91		
Shoe Repair	2	74.0			79	69																	
Adult Video Stores	2	88.0												94							82		
Car Service	2	76.5		91	62																		
Couples Massage	2	55.0										45								65			
Downtown Restaurants	2	73.5										82										65	
Lounge	2	75.0		78	72																		
Haunted House	2	59.5						50		69													
Vietnamese Coffee Shop	2	62.5						35											90				
Lesbian Bar	2	74.0																50				98	
Best Clubs	2	44.0								66		22											
18 And Over Dance Club	2	68.5				74										63							
Affordable Apartments For Rent	1	63.0	63																				
Fun Birthday Ideas	1	61.0			61																		
Old City Restaurants	1	99.0											99										
Guy Fieri	1	42.0			42																		
Surfboard Rental	1	68.0															68						
Best Restaurant	1	40.0						40															
Cheap Eats	1	22.0															22						
Bars South Broadway	1	94.0																		94			
18 To Enter Night Clubs	1	39.0											39										
Side Street Inn	1	27.0															27						
Trendy Restaurant	1	73.0			73																		
Pizzeria Bianco	1	96.0																				96	
Club Downtown	1	40.0																				40	
Upscale Black Hair Salons	1	45.0																45					
Adult Entertainment For Couples	1	10.0										10											
Top Restaurants Downtown	1	2.0				2																	
Where To Watch Laker Game	1	91.0																	91				
Linger	1	33.0																		33			
Punk Clothing Stores	1	51.0																	51				
Pine State Biscuits	1	99.0												99									
Breakfast & Brunch	1	98.0												98									
Ft33	1	93.0																			93		
Bottega Louie	1	33.0		33																			
Boiling Crab Restaurant	1	87.0						87															
Best Thrift Shops In	1	52.0								52													
H&m Stores	1	44.0															44						
Buffalo Wild Wings	1	33.0					33																
Best Philly Cheesesteak	1	12.0											12										
Dinner And Live Jazz	1	20.0																20					
Best Byob	1	53.0											53										
Best Deep Dish Pizza	1	17.0				17																	
Marina Fish House	1	31.0												31									
Jacuzzi Suites	1	99.0										99											
Dance Classes	1	99.0								99													
Park Tavern	1	80.0	80																				
Salon	1	100.0				100																	
Places To Take Pictures	1	5.0																	5				
Best Internet Service Provider	1	77.0							77														
Alan Wongs Restaurant	1	97.0															97						
Toco Hills Shopping Center	1	79.0																79					
Agora	1	85.0									85												
Open Mic	1	88.0																88					
Best Lunch Spots	1	35.0									35												
Michigan Avenue Restaurants	1	27.0				27																	
Indian Clothing Stores	1	46.0													46								
Teppanyaki	1	58.0																	58				
Fogo De Chao	1	53.0								53													
Lucky Belly	1	39.0															39						
Rent A House For A Party	1	63.0																			63		
Golden Corral	1	28.0										28											
Sewing Classes	1	65.0																	65				
Free Pet Vaccination	1	79.0																				79	
Shows	1	37.0										37											
Washington Street Restaurants	1	88.0													88								
Clyde Common	1	74.0												74									
Country Line Dancing	1	62.0																	62				
Record Store	1	63.0																					63
Hip Hop Night Clubs	1	58.0																58					
Record Stores	1	91.0																		91			
Birthday Dinner	1	93.0																93					
Cheap Buffet	1	69.0										69											
Costco	1	96.0						96															
Best Italian Restaurant	1	23.0										23											
101 And I-17	1	69.0																				69	
Oil Change	1	44.0					44																
Singles Bar	1	97.0									97												
Diners Drive In And Dives	1	70.0																	70				
Restaurants At The Domain	1	3.0									3												
Mgm Grand	1	77.0										77											
Amada	1	49.0											49										
Rush Street Restaurants	1	73.0				73																	
Natomas Restaurants	1	27.0														27							
Restaurants Near	1	88.0								88													
Spa Castle	1	59.0																			59		
Dog Boarding	1	47.0									47												
Korean Spa	1	73.0																	73				
Puerto Madero Brickell	1	73.0																					73
16th Street Mall Restaurants	1	2.0																		2			
Top Steakhouse Restaurants Downtown	1	35.0				35																	
Best West Village Restaurant	1	71.0			71																		
Orphanage	1	82.0																	82				
Afternoon Tea	1	35.0								35													
Ichiriki	1	100.0															100						
Professional Services	1	43.0			43																		
Avec	1	49.0				49																	
Slurping Turtle	1	86.0				86																	
Caesars Palace Buffet	1	31.0										31											
Teriyaki	1	37.0							37														
Liquor Store	1	63.0											63										
Michelin Star Restaurants	1	25.0																					25
Colored Contacts	1	83.0																	83				
Tuesday Night	1	57.0																					57
Byo	1	77.0											77										
Restaurants Nw 23rd	1	55.0												55									
Cheesesteak	1	86.0											86										
Breakfast Downtown	1	89.0																89					
Restaurants Near Airport	1	23.0																23					
Beast	1	93.0												93									
Best All You Can Eat Sushi	1	47.0										47											
Baby Stores	1	74.0																					74
Wynn Buffet	1	56.0										56											
Best New Restaurants	1	34.0									34												
Adult Toy Stores	1	68.0										68											
Best Birthday Cakes	1	55.0									55												
Gary Danko	1	75.0	75																				
The Spence	1	53.0																53					
Indoor Rock Climbing	1	75.0																	75				
Reclaimed Wood	1	53.0																	53				
Best Place To Eat	1	19.0														19							
Target	1	91.0	91																				
Rooftop Bar	1	87.0																87					
The Table	1	79.0						79															
Restaurant 30th St Station	1	45.0											45										
Cheap Clothing Stores	1	59.0			59																		
18+ Night Clubs	1	38.0	38																				
Sushi Buffet	1	80.0														80							
Neptune Oyster	1	83.0								83													
Yakiniku	1	90.0															90						
Stone Crabs	1	71.0																					71
Best Place To Watch Football	1	99.0																99					
Hook And Ladder	1	32.0														32							
Best Pie	1	76.0																	76				
Nopa	1	30.0	30																				
Best Beaches	1	80.0					80																
Adult Theater	1	73.0													73								
Michelin-starred Restaurant	1	68.0							68														
Indoor Playgrounds	1	38.0																	38				
The Drag Restaurants	1	83.0									83												
Safety Check	1	33.0															33						
Best Sports Book	1	70.0										70											
Restaurants With Live Jazz/blues	1	38.0																			38		
Best Cuban Sandwich	1	75.0																					75
18 Plus Clubs	1	21.0								21													
Fascination	1	2.0																				2	
Blow Dry Bar	1	72.0								72													
Clubs For 18 And Over	1	63.0			63																		
Outdoor Patio Restaurants	1	95.0																			95		
Cheap Smog Check	1	77.0						77															
Night Clubs For 18 Year Olds	1	27.0																27					
Bellagio	1	57.0										57											
Boutique Hotel	1	76.0												76									
Best Lobster Roll	1	63.0								63													
Uptown Bars	1	17.0																			17		
Airport Shuttle Service	1	62.0															62						
Thrift Shops	1	82.0														82							
Toro Bravo	1	64.0												64									
Tuesday Specials	1	67.0																			67		
Walk In Clinics	1	81.0								81													
Gynecologist	1	88.0									88												
Open Mic Night	1	56.0																	56				
Internet Providers	1	49.0									49												
Unique Restaurants	1	49.0																	49				
Golden Corral Buffet	1	45.0					45																
Rioja	1	71.0																		71			
Bars Downtown	1	83.0																			83		
All Inclusive Resorts	1	8.0																					8
Salty Sow	1	93.0									93												
Wednesday Night	1	70.0																					70
Brazilian Wax	1	96.0			96																		
Sage	1	73.0										73											
Bouchon	1	52.0										52											
Brothels	1	33.0																					33
Photography Classes	1	41.0																	41				
Best Birthday Restaurants	1	79.0																			79		
Pride And Joy	1	83.0																					83
Hotel Suites With Jacuzzi In Room	1	75.0														75							
Best Lunch Places	1	32.0													32								
Best Clam Chowder Restaurant	1	49.0								49													
Adult Stores	1	57.0												57									
Art And Craft Stores	1	39.0								39													
Spinning Classes	1	41.0																					41
Little Italy Restaurants	1	59.0					59																
Best Chinese Restaurant	1	81.0										81											
Online Traffic School	1	39.0																	39				
Trade	1	73.0								73													
Steakhouse	1	86.0										86											
Best Tattoo Parlors	1	15.0									15												
Breakfast Waikiki	1	28.0															28						
Dating Ideas	1	19.0									19												
Tavernita	1	92.0				92																	
Best Sunday Brunch	1	94.0									94												
Best Steak In	1	61.0									61												
Gay Bath Houses	1	19.0																	19				
Osteria	1	67.0											67										
Breakfast Burrito	1	64.0																		64			
Knox Henderson Restaurant	1	22.0																			22		
Midtown Restaurants	1	2.0																					2
Low Income Apartments	1	47.0						47															
Topless Pools	1	72.0										72											
Buy Used Appliances	1	94.0																	94				
Thanksgiving Brunch Buffet	1	67.0					67																
Laser Tag	1	29.0																	29				
Poke	1	53.0															53						
10 Best Mid Town Restaurants	1	13.0			13																		
Trader Joes	1	65.0															65						
Things To Do With Kids	1	49.0										49											
Oishii	1	56.0														56							
Dance Classes For Adults	1	46.0																					46
Screen Door	1	47.0												47									
South Bay Shopping Center	1	18.0								18													
"aarp Hartford"	1	59.0	59																				
Long Term Airport Parking	1	49.0						49															
Drink	1	96.0								96													
Consignment Furniture	1	37.0																	37				
Nicos Pier 38	1	98.0															98						
Best Places For Lunch	1	22.0							22														
Downtown Bars	1	89.0																				89	
53 By The Sea	1	17.0															17						
The Optimist	1	60.0																60					
Han Dynasty	1	30.0											30										
All You Can Eat Sushi	1	14.0																	14				
Best Steakhouses	1	43.0									43												
Le Pigeon	1	85.0												85									
Airport Parking	1	17.0						17															
Publix	1	85.0																					85
Unique Wedding Venues	1	52.0																		52			
Southern Food	1	91.0																91					
Men's Suits	1	92.0																				92	
Bachi Burger	1	30.0										30											
Adalbertos Menu	1	69.0														69							
Alinea	1	65.0				65																	
Boutique Hotels	1	89.0									89												
Bungee Jumping	1	95.0										95											
Caesars Buffet	1	84.0										84											
Vinyl Record Stores	1	69.0																	69				
Flour And Water	1	98.0	98																				
Used Cowboy Boots	1	82.0													82								
Indoor Shooting Range	1	72.0														72							
Cuban Food	1	29.0																					29
Restaurants Near The Paramount Theater	1	40.0							40														
18 And Up Night Clubs	1	52.0					52																
Raku	1	96.0										96											
Best Pho	1	95.0							95														
Best Thrift Shops	1	80.0		80																			
Wicked Spoon Buffet	1	63.0										63											
Downtown	1	51.0						51															
"aarp" "hartford Auto Insurance"	1	44.0	44																				
Best Women's Clothing Stores	1	49.0																					49
Dog Grooming	1	68.0																		68			
Inexpensive Party Event Venues	1	28.0									28												
State Bar	1	89.0				89																	
Best Temp Agencies	1	51.0			51																		
Juvia	1	86.0																					86
Sports Bar	1	46.0	46																				
Shaved Ice	1	96.0															96						
Best Restaurants Downtown	1	37.0		37																			
Chinatown	1	43.0																					43
Restaurants Near Pantages Theater	1	41.0		41																			
Uniqlo	1	42.0								42													
Birthday Restaurants	1	95.0			95																		
Salt Lick	1	77.0									77												
Waterfront Restaurants	1	78.0																					78
The Waikiki Airport Shuttle	1	16.0															16						
Iphone Screen Repair	1	58.0			58																		
Best Private Schools, Bay Area	1	58.0						58															
Rainey Street Bars	1	58.0									58												
Baby Consignment	1	87.0																				87	
Andina	1	36.0												36									
Raging Crab	1	50.0															50						
Brickell Restaurants	1	10.0																					10
Sunday Brunch Buffet	1	35.0																	35				
Date Ideas	1	47.0																		47			
Toro	1	59.0								59													
Bars In Midtown	1	55.0																					55
Specialized Bikes	1	99.0																					99
Federal Donuts	1	41.0											41										
Most Expensive Restaurant	1	62.0													62								
Hibachi	1	80.0																			80		
Mexican Grocery Stores	1	62.0																		62			
Revel	1	78.0							78														
Fette Sau	1	55.0											55										
Bagels	1	68.0			68																		
Empire State South	1	80.0																80					
Fun Restaurant	1	25.0																25					
Persimmon Picking	1	79.0					79																
Steven Starr Restaurants	1	50.0											50										
Searsucker	1	94.0					94																
Small Wedding Venues Cheap	1	53.0													53								
Mens Haircut	1	58.0																					58
Westheimer Restaurants	1	25.0													25								
Best Steak	1	41.0																41					
Cuban	1	28.0																					28
Shave Ice	1	91.0															91						
Abercrombie & Fitch Outlet	1	60.0			60																		
Lesbian Club	1	86.0																86					
Hp Pavilion Parking	1	75.0						75															
Jazz Clubs	1	64.0																64					
Federal Pizza	1	28.0																				28	
Trick Or Treat Hours	1	52.0				52																	
Rainey Street	1	99.0									99												
Burlesque Show	1	83.0										83											
Carriage House	1	90.0				90																	
Two Dollar Movie Theater	1	29.0																29					
Costume Rental	1	55.0														55							
Brew Pubs	1	88.0												88									
El Vez	1	59.0											59										
Cheap Banquet Halls	1	61.0																	61				
Big Star	1	97.0				97																	
Best Mens Haircut	1	65.0									65												
Highlands Restaurants	1	85.0																		85			
Top 20 Best Hip Hop Night Clubs	1	20.0													20								
Best Bars In Downtown	1	71.0														71							
B&h Camera	1	80.0																					80
Designer Clothing Resale Shop	1	71.0													71								
Ear Nose Throat Doctor	1	43.0																	43				
