Yelp URL Slug			san-francisco	la	nyc	chicago	san-diego	san-jose	seattle	boston	austin	las-vegas	philadelphia	portland	houston	sacramento	honolulu	atlanta	oc	denver	dallas	phoenix	miami
Search Terms	Popularity	Average Ranking	San Francisco	Los Angeles	New York	Chicago	San Diego	San Jose	Seattle	Boston	Austin	Las Vegas	Philadelphia	Portland	Houston	Sacramento	Honolulu	Atlanta	Orange County	Denver	Dallas	Phoenix	Miami
Snorkeling	1	77.0															77						
Fun Things To Do At Night	1	57.0		57																			
Boiling Crab	1	43.0						43															
Cheap Furniture	1	92.0												92									
Delfina	1	78.0	78																				
Top Chinese Food	1	80.0								80													
Wayfare Tavern	1	74.0	74																				
Dance Clubs 18 And Over	1	23.0																				23	
Sushi Den	1	75.0																		75			
Military Surplus	1	88.0					88																
Wholesale Fashion Clothes	1	13.0																					13
Tower Cafe	1	86.0														86							
Lardo	1	90.0												90									
Centurylink	1	86.0							86														
Girl And The Goat	1	64.0				64																	
Vintage Clothing Stores	1	60.0																	60				
Liliha Bakery	1	95.0															95						
Korean Bbq All You Can Eat	1	94.0		94																			
Udon	1	67.0															67						
Best North End Restaurant	1	11.0								11													
Best Salads	1	84.0																				84	
Best Cupcake	1	55.0																	55				
Restaurants, Downtown	1	49.0																				49	
Kinko's	1	52.0															52						
Fun Places To Eat	1	97.0																				97	
Tasty And Sons	1	82.0												82									
Most Romantic Restaurant	1	40.0													40								
Diner	1	35.0			35																		
Capitol Hill Bars	1	64.0							64														
Thanksgiving Buffet	1	59.0																	59				
Mandalay Bay	1	100.0										100											
6th Street	1	33.0									33												
Puppy Training Classes	1	60.0																		60			
Speakeasy	1	39.0																		39			
Soup Kitchen, Volunteer	1	67.0			67																		
Hash House A Go Go	1	62.0										62											
678	1	63.0															63						
Barbuzzo	1	43.0											43										
Xoco	1	88.0				88																	
Cucina Urbana	1	53.0					53																
Sushi Hai	1	90.0																		90			
Restaurants Union Square	1	55.0			55																		
Booze Cruise	1	43.0															43						
Tag	1	69.0																		69			
Aria	1	90.0										90											
Sipatea	1	80.0						80															
Dispensaries	1	79.0														79							
Underbelly	1	45.0													45								
18 + Clubs	1	32.0			32																		
Fun Date Night Ideas	1	16.0																	16				
Slanted Door	1	56.0	56																				
Old Town Restaurants	1	41.0														41							
Pumpkin Patches	1	95.0		95																			
18 Clubs	1	37.0														37							
La Galleria 33	1	20.0								20													
Cheap Breakfast	1	98.0										98											
Walk In Medical Clinic	1	85.0											85										
Bolsa	1	100.0																			100		
Local 360	1	94.0							94														
Byob Restaurants	1	32.0											32										
Lofts For Rent	1	33.0																33					
Best Massage	1	94.0													94								
Swingers Clubs	1	9.0																			9		
Event Venues	1	95.0																95					
Tria	1	96.0											96										
Massage Envy	1	63.0																				63	
Serendipitously-closed	1	8.0																			8		
Cab Companies	1	16.0											16										
Smith Brothers Appliance Repair	1	46.0																	46				
Bars Waikiki	1	55.0															55						
Restaurants, Tremont Street	1	86.0								86													
Restaurants, Copley Square	1	44.0								44													
Furla	1	7.0																	7				
10 Best Chelsea Restaurants	1	21.0			21																		
English Afternoon Tea	1	89.0																	89				
Bacchanal Buffet	1	20.0										20											
Birthday Restaurant	1	99.0																	99				
True Food	1	45.0																		45			
Lululemon Outlet	1	97.0										97											
Diners Drive-ins And Dives	1	26.0							26														
Randolph Street Restaurant	1	33.0				33																	
Restaurants Se Division	1	100.0												100									
Amore Classic Ceramic Flat Iron	1	20.0							20														
Nail Salon	1	85.0			85																		
Ippudo	1	98.0			98																		
Fill A Seat	1	39.0																			39		
Best Inexpensive Places To Eat	1	93.0				93																	
Clothing Optional	1	61.0										61											
Restaurants Near Kimmel Center	1	81.0											81										
State Bird Provisions	1	65.0	65																				
Man Vs Food	1	66.0																		66			
Inexpensive Wedding Venue	1	38.0																38					
Good Places For Lunch	1	61.0								61													
Spirit Halloween Stores	1	33.0						33															
Currency Exchange	1	27.0																	27				
Upscale Trendy Restaurants	1	84.0													84								
Tokoname	1	47.0															47						
Lola	1	70.0							70														
Santana Row	1	54.0						54															
Wi Spa	1	85.0		85																			
Best Seafood Buffet	1	93.0										93											
Best Shows	1	4.0										4											
North End Restaurants	1	23.0								23													
La Condesa	1	67.0									67												
Wicked Spoon	1	51.0										51											
Mon Ami Gabi	1	54.0										54											
Chinatown Bus	1	51.0											51										
Venues To Rent	1	62.0																62					
Best Buffet	1	24.0										24											
Scratch And Dent Appliances	1	78.0													78								
Running Trails	1	51.0									51												
Foreign Cinema	1	57.0	57																				
Deli	1	70.0			70																		
Top Italian Restaurants	1	52.0							52														
Fill A Seat Dallas	1	30.0																				30	
Paseo	1	73.0							73														
South Street	1	77.0																					77
Breakfast Tacos	1	26.0									26												
Zero Zero	1	81.0	81																				
Side Street Cafe	1	99.0															99						
Yelp	1	40.0					40																
Luau	1	25.0															25						
Plumber	1	69.0						69															
Best Breakfast Buffet	1	25.0										25											
Resturants	1	15.0													15								
Burrito	1	96.0	96																				
Couple's Massage	1	87.0																			87		
Abc Kitchen	1	74.0			74																		
Vintage Stores	1	72.0																					72
Hawaiian Food	1	18.0															18						
Trails Smoke Shop	1	12.0																				12	
South Broadway, Restaurants	1	40.0																		40			
Cheesesteaks	1	72.0											72										
Affordable Wedding Venue 100	1	34.0					34																
Food Carts	1	58.0												58									
Arts And Crafts Stores	1	50.0			50																		
Best Breakfast Downtown	1	15.0							15														
Best Place To Celebrate Birthday	1	28.0																28					
Galleria 33	1	62.0								62													
Uchiko	1	96.0									96												
Black Clubs	1	65.0																65					
Gluten Free Restaurants	1	79.0																		79			
Country Western Bar	1	98.0																	98				
Seafood Buffet	1	74.0										74											
Zuma	1	59.0																					59
Teen Clubs 16-18	1	56.0																56					
Wedding Dress Rentals	1	87.0																	87				
Windsor	1	81.0																				81	
Baco Mercat	1	71.0		71																			
Best Mexican Restaurant	1	57.0								57													
Swinger's Club	1	12.0													12								
Eggs N Things	1	87.0															87						
Restaurants Davis Square	1	93.0								93													
Over 40 Crowd Night Clubs	1	59.0																59					
South Congress Hotels	1	78.0									78												
Wedding Venues	1	81.0																	81				
Root Down	1	55.0																		55			
Two Urban Licks	1	71.0																71					
Hookah Lounges	1	34.0																34					
Waikiki Best Seafood Buffet	1	12.0															12						
Imperial	1	73.0												73									
Luxor	1	85.0										85											
Coffee & Tea	1	87.0												87									
Boulevard	1	90.0	90																				
Santana Row Restaurants	1	8.0						8															
Crabaholic	1	59.0						59															
Bars To Meet Older Women	1	19.0																				19	
Chinese Meggie	1	2.0									2												
Tinto	1	93.0											93										
Lotus Of Siam	1	58.0										58											
Teen Night Clubs	1	26.0																					26
Chinese Supermarket	1	97.0																					97
Izakaya	1	88.0															88						
Hookah Bar	1	72.0																72					
Restaurants With An Water View	1	44.0																					44
Restaurant Supply	1	83.0															83						
Late Night Food	1	75.0												75									
Midtown Bars	1	83.0													83								
Zahav	1	80.0											80										
Best Restaurants In Hillcrest	1	76.0					76																
Motorcycle School	1	88.0																	88				
House Of Prime Rib	1	69.0	69																				
Rpm Italian	1	96.0				96																	
Womens Boutiques	1	89.0												89									
Bridal Dress Shops	1	95.0														95							
Restaurants Near Galleria	1	55.0																			55		
Fried Turkey	1	86.0									86												
Firestone Restaurant	1	61.0														61							
Sell Used Clothes	1	77.0																77					
Michelin Restaurants	1	36.0								36													
Untitled	1	63.0				63																	
Cibo	1	55.0																				55	
Swinger Bars	1	78.0																				78	
Downtown Crossing Restaurants	1	65.0								65													
Best Furniture Stores	1	100.0	100																				
Best Ramen	1	79.0															79						
6th Street Restaurants	1	62.0									62												
Bus To Boston	1	53.0			53																		
Canlis	1	100.0							100														
Bar Brickell	1	62.0																					62
Romantic Live Music Dancing Restaurant	1	86.0													86								
Indian Clothing	1	69.0																					69
Night Clubs 18	1	79.0							79														
Mobile Dog Grooming	1	100.0																	100				
Top Restaurants	1	13.0																			13		
Happy Hour Brickell	1	40.0																					40
Poppy	1	97.0							97														
Dollar Theater	1	43.0																			43		
Taco Tuesday	1	11.0																	11				
New York To	1	34.0								34													
Halloween Stores	1	31.0				31																	
Balena	1	61.0				61																	
South Beach Restaurants	1	96.0																					96
Happy Hour Specials Uptown	1	74.0																			74		
Best Coffee Shops	1	45.0				45																	
Restaurants, South Station	1	60.0								60													
